Agency,MMR Goal,Critical,Performance Indicator,FY12,FY13,FY14,FY15,FY16,TGT16,TGT17,Desired direction,5yr trend
DOB,1c,TRUE,Average wait time for an electrical inspection (days),NA,6.3,6.1,5.2,6.4,6.0,6.0,Down,NA
DOHMH,4b,FALSE,Units of supportive housing available to persons with serious mental illness (000),5.0,5.2,5.4,5.7,6.0,6.0,6.0,Up,Up
DoITT,1b,FALSE,Average time to resolve service incidents - Low (days),1.7,1.9,1.5,1.8,2.2,6.0,6.0,Down,Up
DOI,2a,FALSE,Background investigations closed within six months (from investigation start date) (%),52%,59%,55%,61%,58%,60%,60%,Up,Up
DOI,2a,TRUE,Background investigations closed within 12 months (from date of receipt) (%),59%,64%,61%,65%,60%,60%,60%,Up,Neutral
DORIS,1b,TRUE,Vital record requests responded to within 12 business days (%),76%,69%,49%,17%,62%,60%,60%,Up,Down
DPR,6a,FALSE,E-mails routed and responded to in 14 days (%),58%,45%,38%,52%,60%,60%,60%,Up,Neutral
DPR,6a,FALSE,Letters routed and responded to in 14 days (%),54%,37%,30%,43%,47%,60%,60%,Up,Neutral
DYCD,3a,TRUE,Community anti-poverty program participants achieving target outcomes designated for clients in each program area (%),59%,60%,61%,67%,64%,60%,60%,Up,Up
TLC,3b,FALSE,Percent meeting time to first action - Miscellaneous Comments (14 days),63%,67%,84%,98%,84%,60%,60%,Neutral,Up
TLC,3b,FALSE,Percent meeting time to first action - Request for Information (14 days),76%,72%,90%,98%,83%,60%,60%,Neutral,Up
HRA,1b,FALSE,Supplemental Nutritional Assistance Program (SNAP) Estimated Payment Error Rate (%),6.10%,5.55%,6.81%,4.01%,NA,6.00%,6.00%,Down,NA
OCME,1b,TRUE,Median time to complete autopsy reports (days),69.5,50.0,56.0,77.0,69.0,60.0,60.0,Down,Up
ACS,1e,FALSE,Children returned to parent(s) within 12 months (%)(preliminary),62.2%,59.8%,57.9%,59.7%,59.6%,60.0%,60.0%,Up,Neutral
SBS,4a,TRUE,Annual M/WBE recertification rate,62.5%,59.2%,60.4%,60.4%,53.4%,60.0%,60.0%,Up,Down
DOE,1a,FALSE,Students in the graduating class taking required Regents examinations,"60,204","61,062","58,897","57,314",NA,"60,000","60,000",Up,NA
DYCD,2a,FALSE,Summer Youth Employment Program (SYEP) participants,"30,628","29,416","35,957","47,126","54,263","33,000","60,000",Neutral,Up
HPD,1a,FALSE,Inspections completed,"697,736","661,206","675,760","664,960","692,943","600,000","600,000",Neutral,Neutral
FDNY,2a,TRUE,Combined response time to life-threatening medical emergencies by ambulances & fire companies (FDNY dispatch and travel time only) (minutes:seconds),5:32,5:47,5:49,6:05,6:05,5:48,6:03,Down,Up
DOE,6a,FALSE,E-mails responded to in 14 days (%),74.9%,NA,62%,64.3%,60.4%,75%,61.4%,Up,NA
DSNY,3a,TRUE,Recycling tons per truck-shift,5.1,5.1,5.1,5.2,5.6,6.2,6.2,Up,Neutral
DCA,1a,TRUE,Mediated complaints resolved to the satisfaction of the business and consumer (%),NA,62%,62%,62%,64%,62%,62%,Up,NA
DCAS,6a,TRUE,Hybrid or alternative fuel vehicles in the citywide fleet (%),28%,41%,57%,57%,59%,60%,62%,Up,Up
SBS,4a,TRUE,-  M/WBEs awarded contracts after receiving procurement and capacity building assistance,439,447,472,613,723,482,625,Up,Up
DYCD,2b,FALSE,"Youth who are out-of-school, attend a DYCD-funded training or employment program, and attain a degree or certificate by the end of the 3rd quarter after exiting the program (%)",68%,66%,65%,68%,70%,63%,63%,Up,Neutral
DYCD,2b,FALSE,Youth who attend a DYCD-funded training or employment program while in school and attain a degree or certificate by the end of the 3rd quarter after exiting the program (%),75%,77%,77%,78%,83%,63%,63%,Up,Neutral
LAW,3a,TRUE,Families entitled to a support order that get a support order (%),NA,65%,65%,68%,71%,65%,65%,Up,NA
DOF,2a,TRUE,Parking tickets issued that are paid within 90 days (%),65.1%,63.5%,63.2%,65.8%,66.8%,65.0%,65.0%,Up,Neutral
H + H,1a,FALSE,Inpatient satisfaction rate (%),NA,58.0%,60.0%,63.0%,62.0%,62.0%,65.0%,Up,NA
DPR,2a,TRUE,Street trees pruned - Block program,"29,497","46,697","59,607","97,888","87,359","95,000","65,000",Up,Up
DCLA,1b,TRUE,Capital projects initiated (%),67%,63%,42%,85%,96%,66%,66%,Up,Up
HPD,5b,FALSE,Percent meeting time to close - Plumbing - Water-Leaks (17 days),71%,75%,69%,60%,78%,68%,68%,Neutral,Neutral
CUNY,1a,TRUE,One-year (fall-to-fall) retention rate of full-time first-time freshmen enrolled in CUNY associate degree programs,67.1%,66.6%,67.1%,67.9%,66.3%,67.0%,68.0%,Up,Neutral
DOHMH,1b,FALSE,"Seniors, aged 65+, who reported receiving a flu shot in the last 12  months (%) (CY)",67.4%,61.8%,66.8%,64.2%,65.5%,72.0%,68.0%,Up,Neutral
DCAS,3a,TRUE,Revenue generated from the sale of surplus goods ($000),"$9,315","$9,610","$9,892","$10,406","$11,026","$10,193","$6,893",Neutral,Up
DYCD,2b,TRUE,"Youth who are out-of-school, attend a DYCD-funded training or employment program, and are placed in post-secondary education, employment, or advanced training in the 1st quarter after exiting the program (%)",68%,70%,68%,68%,68%,69%,69%,Up,Neutral
DYCD,2b,TRUE,"Youth who attend a training program while in school and are placed in post-secondary education, employment, or advanced training during the 1st quarter after exiting the program (%)",78%,77%,78%,82%,85%,69%,69%,Up,Neutral
HPD,5b,FALSE,Percent meeting time to close - Paint/Plaster - Walls (17 days),72%,74%,70%,61%,79%,69%,69%,Neutral,Neutral
HPD,2a,FALSE,- New construction completions,NA,NA,"2,113","2,025","4,230","4,912","6,910",Neutral,NA
DCLA,1a,TRUE,Average days to issue initial Cultural Development Fund (CDF) payments after complying with all City requirements,6,6,8,11,4,7,7,Down,Neutral
DCAS,2b,TRUE,Average time to complete in-house work orders for minor repairs (days),7.6,8.2,4.3,4.2,3.6,7.0,7.0,Down,Down
DEP,2a,TRUE,Sewer backup resolution time (hours),5.6,4.4,3.9,3.9,3.7,7.0,7.0,Down,Down
DEP,2a,TRUE,Average time to repair or replace high-priority broken or inoperative hydrants (days),4.4,2.7,3.1,2.5,2.9,7.0,7.0,Down,Down
ACS,1c,TRUE,Children who re-enter foster care within a year of discharge to family (%)(preliminary),8.6%,8.6%,9.3%,9.1%,7.9%,8.0%,7.0%,Down,Neutral
DCAS,2a,TRUE,Average building cleanliness and condition rating for DCAS-managed space (non-court) (%),66%,69%,70%,69%,70%,70%,70%,Up,Neutral
DCP,3a,TRUE,- Certified/referred within 12 months (%),NA,NA,93%,72%,68%,70%,70%,Up,NA
DCP,3a,TRUE,- Certified/referred within 15 months (%),NA,NA,68%,63%,44%,70%,70%,Up,NA
DCP,3a,TRUE,- Certified/referred within 6 months (%),NA,NA,87%,70%,96%,70%,70%,Up,NA
DCP,3a,TRUE,- Certified/referred within 6 months (%),NA,NA,73%,63%,68%,70%,70%,Up,NA
DOHMH,7b,FALSE,Percent meeting time to first action - Rodent (14 days),72%,74%,75%,73%,73%,70%,70%,Neutral,Neutral
DOT,7a,FALSE,Calls answered in 30 seconds (%),31%,45%,73%,60%,23%,70%,70%,Up,Neutral
LAW,2a,FALSE,Juvenile conviction rate (%),73%,73%,75%,75%,76%,70%,70%,Neutral,Neutral
SCA,1b,TRUE,Construction bid price for school capacity projects per square foot ($),$514,$580,$630,$771,$752,$700,$700,Down,Up
FDNY,2a,TRUE,Average response time to life-threatening medical emergencies by ambulances (FDNY dispatch and travel time only) (minutes:seconds),6:25,6:45,6:46,7:04,7:03,6:45,7:00,Down,Neutral
NYCEM,2c,TRUE,Average time from incident to issuing of Notify NYC message (minutes:seconds),NA,NA,7:58,8:00,6:00,7:00,7:00,Down,NA
DHS,1a,TRUE,Adults receiving preventive services who did not enter the shelter system (%),91.4%,96.7%,96.0%,93.5%,90.6%,70.0%,70.0%,Up,Neutral
DHS,1a,TRUE,Adult families receiving preventive services who did not enter the shelter system (%),97.0%,95.5%,97.3%,91.5%,90.7%,70.0%,70.0%,Up,Neutral
DHS,1a,TRUE,Families with children receiving preventive services who did not enter the shelter system (%),93.9%,93.0%,94.0%,94.5%,94.1%,70.0%,70.0%,Up,Neutral
DOHMH,2b,FALSE,Adult patients with controlled blood pressure (%) (CY),67.3%,67.0%,67.4%,66.8%,67.2%,69.0%,70.0%,Up,Neutral
HPD,5b,FALSE,Percent meeting time to close - Paint/Plaster - Ceiling (17 days),74%,76%,74%,69%,84%,71%,71%,Neutral,Neutral
DOT,1b,TRUE,Streets maintained with a pavement rating of - Good (%),73.4%,69.6%,69.3%,70.0%,68.8%,71.0%,71.0%,Up,Neutral
NYCHA,4a,FALSE,Customers rating service good or better (%) (As applicable),71.0%,66.0%,70.0%,68.2%,78.8%,71.0%,71.0%,Up,Up
DOHMH,2b,FALSE,"Adults, aged 50+, who received a colonoscopy in the past ten years (%) (CY)",68.6%,68.5%,69.0%,69.9%,69.9%,70.6%,71.4%,Up,Neutral
DOE,1a,TRUE,Students in cohort graduating from high school in 4 years (%) (NYSED),64.7%,66.0%,68.4%,70.5%,NA,68.4%,71.5%,Up,NA
DCA,1b,FALSE,Weights and Measures Law compliance rate - fuel trucks (%),73%,80%,78%,70%,68%,72%,72%,Up,Down
DOB,4b,FALSE,Percent meeting time to first action - General Construction/Plumbing - Contrary/Beyond Approved Plans/Permits (60 days),68%,70%,80%,81%,78%,72%,72%,Neutral,Up
DOE,6a,FALSE,Letters responded to in 14 days (%),92.9%,NA,79%,75.1%,72.5%,85%,73.5%,Up,NA
DOT,2a,FALSE,Accessible pedestrian signals installed,23,19,30,18,47,25,75,Up,Up
DCAS,2b,TRUE,In-house trade shop work orders completed within 30 days (%),75%,64%,69%,70%,70%,75%,75%,Up,Neutral
DCAS,6a,FALSE,- Hybrid or alternative fuel vehicles in the DCAS-managed fleet (%),NA,41%,56%,66%,74%,60%,75%,Up,NA
DOHMH,7a,FALSE,E-mails responded to in 14 days (%),39%,42%,68%,58%,72%,75%,75%,Up,Up
DOHMH,7b,FALSE,Percent meeting time to first action - Smoking complaint (14 days),77%,81%,78%,86%,81%,70%,75%,Neutral,Neutral
DOI,1a,FALSE,Written policy and procedure recommendations accepted by City agencies (%),NA,72%,45%,74%,81%,75%,75%,Neutral,NA
DoITT,1c,FALSE,Projects on schedule (%),NA,75%,85%,87%,88%,75%,75%,Up,NA
DoITT,4a,TRUE,Inspected phones deemed operable (%),75%,61%,65%,63%,65%,75%,75%,Up,Down
DOT,1b,FALSE,- Street work rated satisfactory (%),76%,77%,76%,75%,76%,75%,75%,Up,Neutral
DYCD,1b,TRUE,Youth reunited with family or placed in a suitable environment from crisis shelters (%),80%,86%,83%,89%,77%,75%,75%,Up,Neutral
LAW,2a,TRUE,Juveniles successfully referred to a diversion program with no new delinquency referral within one year (%),NA,85%,85%,84%,81%,75%,75%,Up,NA
DOHMH,1b,TRUE,Children aged 19-35 months with up-to-date immunizations (%),66.4%,70.1%,72.1%,73.0%,74.7%,74.0%,75.0%,Up,Up
DOT,1b,FALSE,Adopt-A-Highway adoption rate (%),66.3%,67.4%,76.8%,81.5%,80.7%,75.0%,75.0%,Up,Up
QPL,1a,FALSE,Computers for public use,"1,706","1,869","1,904","1,963","1,967","1,900","7,500",Up,Up
NYCEM,2a,TRUE,Total participants at emergency preparedness education sessions,"32,078","35,921","34,599","74,571","103,648","75,000","75,000",Up,Up
HRA,2c,FALSE,"Child support collected ($000,000)",$748.8,$735.6,$741.7,$748.3,$762.1,$750.0,$752.0,Up,Neutral
DEP,7a,FALSE,Calls answered in 30 seconds (%),76%,69%,79%,68%,73%,76%,76%,Up,Neutral
NYCHA,3a,TRUE,Initial social service tenant contacts conducted within five days of referral (%),76%,64%,68%,80%,86%,76%,76%,Up,Up
DOE,1a,FALSE,Students with 90% or better attendance rate (%),74.4%,72.7%,72.4%,74.5%,75.0%,76.0%,76.0%,Up,Neutral
DSNY,3a,TRUE,Curbside and containerized recycled tons (000),541.9,539.2,553.2,575.4,613.8,683.3,764.4,Up,Up
DOB,4b,FALSE,Percent meeting time to first action - General Construction/Plumbing - Failure to Maintain (60 days),77%,77%,79%,81%,93%,77%,77%,Neutral,Up
DOB,4b,FALSE,"Percent meeting time to first action - No Permit - Construction, Plumbing, Cranes & Derricks, Building/Use, Elevator (60 days)",70%,72%,72%,63%,85%,77%,77%,Neutral,Up
HPD,5b,FALSE,Percent meeting time to close - Heating (5 days),83%,84%,83%,82%,73%,78%,78%,Neutral,Down
LAW,1b,TRUE,Win rate on affirmative motions (%),NA,72%,78%,74%,75%,78%,78%,Up,NA
HRA,2c,TRUE,Child support cases with orders of support (%),70.1%,70.1%,71.5%,73.2%,76.7%,77.0%,78.0%,Up,Neutral
DCAS,5b,TRUE,Cumulative estimated reduction in greenhouse gas emissions from all energy projects (metric tons),"6,156","11,846","19,739","60,723","75,182","73,451","79,451",Up,Up
NYPL,1a,FALSE,Libraries open seven days per week (%),4%,4%,4%,4%,8%,8%,8%,Up,Up
DCP,4a,FALSE,CORE customer experience rating (0 - 100),83,88,89,92,100,80,80,Up,Up
HRA,6a,FALSE,CORE facility rating,80,83,90,90,86,80,80,Up,Neutral
TLC,3a,FALSE,CORE customer experience rating (1-100),80,84,87,88,98,80,80,Up,Up
HRA,4a,TRUE,Average number of days from submission of a completed application to approval or denial of enhanced housing benefits to keep HASA clients in stable housing,7.9,7.0,8.4,7.6,7.0,8.0,8.0,Down,Neutral
CUNY,1a,TRUE,CUNY courses offered partly or totally online (%),5.3%,4.3%,4.9%,5.7%,6.8%,6.0%,8.0%,Up,Up
DOE,1a,TRUE,Students in cohort dropping out from high school in 4 years (%) (NYSED),11.4%,10.6%,9.7%,9.0%,NA,9.7%,8.0%,Down,NA
3-1-1,1a,TRUE,Calls answered in 30 seconds (%),71%,81%,83%,84%,89%,80%,80%,Up,Up
DCA,1b,FALSE,Consumer Protection Law - refund and receipt compliance rate (%),80%,80%,81%,91%,91%,80%,80%,Up,Up
DCA,1c,TRUE,Number of fines collected within 45 days of assessment (%),82%,84%,81%,82%,89%,80%,80%,Up,Neutral
DOT,7b,FALSE,Percent meeting time to first action - Traffic Signal Condition - Controller (0.1 days),78%,71%,72%,73%,74%,80%,80%,Neutral,Neutral
DPR,3a,TRUE,Capital projects completed on time or early (%),49%,76%,72%,90%,86%,80%,80%,Up,Up
HRA,6a,FALSE,Calls answered in 30 seconds (%),56.6%,63.6%,69.7%,65.8%,79.7%,80%,80%,Up,Up
SCA,1c,TRUE,Capital improvement projects constructed on time or early (%),72%,69%,72%,72%,86%,80%,80%,Up,Up
SCA,1c,TRUE,Capital improvement projects constructed within budget (%),77%,71%,80%,83%,73%,80%,80%,Up,Neutral
TLC,3a,FALSE,E-mails responded to in 14 days (%),78%,75%,93%,99%,NA,80%,80%,Up,NA
DOB,2b,TRUE,Violations admitted to or upheld at the Environmental Control Board (%),77.1%,79.4%,82.1%,84.5%,85.2%,80.0%,80.0%,Up,Up
DOE,1a,FALSE,Students passing required Regents examinations (%),68.7%,70.4%,71.0%,70.6%,NA,80.0%,80.0%,Up,NA
H + H,1a,TRUE,Eligible women receiving a mammogram screening (%),73.0%,73.9%,75.6%,77.8%,76.4%,80.0%,80.0%,Up,Neutral
H + H,1a,FALSE,Outpatient satisfaction rate (%),NA,76.5%,76.9%,77.6%,77.8%,80.0%,80.0%,Up,NA
HRA,2a,TRUE,"HRA clients who obtained employment, and maintained employment or did not return to CA for 180 days (city fiscal year-to-date average) (%)",NA,NA,74.5%,73.9%,73.3%,80.0%,80.0%,Up,NA
DOHMH,4a,FALSE,New buprenorphine patients (CY) (quarterly),"9,913","9,620","8,487","7,046","6,950","7,500","8,000",Neutral,Down
HPD,2a,FALSE,- New construction starts,NA,NA,"2,759","8,485","6,097","7,257","8,000",Neutral,NA
LAW,1a,FALSE,-  Cases commenced against the City in state court,"7,682","7,745","7,258","8,112","8,009","7,900","8,000",Neutral,Neutral
QPL,1a,FALSE,Electronic visits to website (000),"5,191","6,667","6,926","7,854","7,725","7,000","8,000",Up,Up
ACS,2a,TRUE,EarlyLearn - Average family child care enrollment,NA,"4,549","6,354","7,002","7,275","8,161","8,161",Up,NA
DDC,1a,FALSE,Sewers constructed (miles),8.5,9.9,12.8,9.8,11.4,4.0,8.2,Neutral,Up
DDC,1a,FALSE,Total construction projects completed early/on time (%),84%,81%,81%,84%,87%,82%,82%,Up,Neutral
DDC,1a,TRUE,- Completed early/on time: Infrastructure (%),87%,81%,87%,88%,87%,82%,82%,Up,Neutral
DDC,1a,TRUE,- Completed early/on time: Public buildings (%),81%,82%,76%,83%,85%,82%,82%,Up,Neutral
DDC,1a,FALSE,- Construction completed on schedule (%),93%,83%,85%,93%,89%,82%,82%,Up,Neutral
DDC,1a,FALSE,- Construction completed on schedule (%),92%,88%,84%,85%,84%,82%,82%,Up,Neutral
DDC,1a,FALSE,- Construction completed on schedule (%),91%,82%,86%,84%,89%,82%,82%,Up,Neutral
DDC,1a,FALSE,- Construction completed on schedule (%),89%,80%,88%,92%,91%,82%,82%,Up,Neutral
DDC,1a,TRUE,Active construction projects: Early/on time (%),88%,86%,88%,84%,90%,82%,82%,Up,Neutral
DOE,4a,FALSE,Total new seats created,"10,766","10,061","5,380","15,210","5,692","5,932","8,297",Neutral,Down
SCA,1a,FALSE,Total new seats created,"10,766","10,061","5,380","15,210","5,692","5,932","8,297",Neutral,Down
DCA,5a,FALSE,CORE customer experience rating (0-100),83,86,94,95,98,83,83,Up,Up
DDC,1a,FALSE,Sewers reconstructed (miles),5.8,8.8,6.7,6.1,4.6,4.0,8.4,Neutral,Down
DOB,4a,FALSE,CORE customer experience rating (0-100),79,83,91,90,91,85,85,Up,Up
DOHMH,7a,FALSE,CORE facility rating,81,90,92,92,81,85,85,Up,Neutral
DPR,3a,FALSE,Capital projects completed,132,123,114,84,97,95,85,Neutral,Down
DPR,6a,FALSE,CORE customer experience rating (0-100),86,89,91,93,91,85,85,Up,Neutral
HPD,5a,FALSE,CORE customer experience rating (0-100),85,87,89,90,97,85,85,Up,Up
DOF,2b,TRUE,Average turnaround time to issue decision for parking ticket hearing-by-web (days),6.5,3.8,7.0,6.5,4.4,8.5,8.5,Down,Down
H + H,1a,FALSE,Adult patients discharged with a principal psychiatry diagnosis who are readmitted within 30 days (%),7.0%,6.5%,7.4%,7.4%,6.8%,8.5%,8.5%,Down,Neutral
DCA,1a,FALSE,- Within 0-50 days (%),NA,NA,NA,83%,85%,*,85%,Up,NA
DCA,5b,FALSE,Percent meeting time to first action - Consumer Complaint - Exchange/Refund/Return (4 days),100%,97%,70%,83%,93%,85%,85%,Neutral,Down
DCA,5b,FALSE,Percent meeting time to first action - Consumer Complaint - False Advertising (4 days),99%,97%,69%,84%,91%,85%,85%,Neutral,Down
DCA,5b,FALSE,Percent meeting time to first action - Consumer Complaint - Non-Delivery Goods/Services (4 days),99%,96%,71%,82%,92%,85%,85%,Neutral,Down
DCA,5b,FALSE,Percent meeting time to first action - Consumer Complaint - Overcharge (4 days),98%,96%,71%,82%,93%,85%,85%,Neutral,Down
DCA,5b,FALSE,Percent meeting time to first action - DCA / DOHMH New License Application Request - General Street Vendor License (7 days),100%,92%,92%,65%,78%,85%,85%,Neutral,Down
DCP,4a,FALSE,E-mails responded to in 14 days (%),75%,81%,87%,90%,85%,85%,85%,Up,Up
DEP,5a,FALSE,Air complaints responded to within seven days (%),82%,93%,98%,95%,95%,85%,85%,Up,Up
DEP,5a,FALSE,Noise complaints not requiring access to premises responded to within seven days (%),88%,91%,99%,97%,97%,85%,85%,Up,Up
DEP,7b,FALSE,Percent meeting time to first action - Sewer Maintenance - Catch Basin Clogged/Flooding (6 days),81%,91%,90%,93%,91%,85%,85%,Neutral,Up
DEP,7b,FALSE,Percent meeting time to first action - Sewer Maintenance - Sewer Backup (0.25 days),78%,84%,86%,89%,90%,85%,85%,Neutral,Up
DEP,7b,FALSE,Percent meeting time to first action - Water Maintenance - Hydrant Running (2 days),91%,86%,86%,85%,85%,85%,85%,Neutral,Neutral
DEP,7b,FALSE,Percent meeting time to first action - Water Maintenance - Hydrant Running Full (1 day),89%,85%,87%,88%,88%,85%,85%,Neutral,Neutral
DEP,7b,FALSE,Percent meeting time to first action - Water Maintenance - Leak (0.7 days),83%,82%,80%,80%,79%,85%,85%,Neutral,Neutral
DOF,7a,FALSE,E-mails responded to in 14 days (%),75%,85%,86%,83%,71%,85%,85%,Up,Neutral
DOF,7a,FALSE,Letters responded to in 14 days (%),60%,91%,79%,90%,87%,85%,85%,Up,Up
DOHMH,7a,FALSE,Calls answered in 30 seconds (%),65%,69%,85%,82%,78%,80%,85%,Up,Up
DOT,7b,FALSE,Percent meeting time to first action - Street Condition - Failed Street Repair (10 days),81%,90%,92%,92%,92%,85%,85%,Neutral,Up
DPR,1a,TRUE,Parks rated acceptable for overall condition (%),82%,85%,87%,86%,85%,85%,85%,Up,Neutral
DPR,1a,TRUE,Recreation centers rated acceptable for overall condition (%),87%,85%,86%,83%,89%,85%,85%,Up,Neutral
DPR,3a,FALSE,Capital projects completed within budget (%),80%,77%,78%,86%,88%,85%,85%,Up,Up
DPR,6b,FALSE,Percent meeting time to first action - Root/Sewer/Sidewalk Condition - Trees and Sidewalks Program (30 days),74%,82%,60%,64%,71%,85%,85%,Neutral,Down
DYCD,1a,TRUE,COMPASS NYC programs meeting target enrollment (school year) (%),98%,96%,95%,96%,94%,85%,85%,Up,Neutral
DYCD,1a,TRUE,COMPASS NYC programs meeting target enrollment - SONYC/middle school (school year) (%),95%,93%,92%,95%,91%,85%,85%,Up,Neutral
DYCD,1b,TRUE,Youth reunited with family or placed in a suitable environment from Transitional Independent Living (TIL) centers (%),93%,91%,93%,92%,89%,85%,85%,Up,Neutral
DYCD,1b,TRUE,Utilization rate for transitional independent living beds (%),86%,91%,94%,96%,91%,85%,85%,Up,Neutral
FDNY,1a,TRUE,Hazard complaints resolved within one day (%),57%,65%,59%,79%,85%,80%,85%,Up,Up
LAW,3a,FALSE,Filing of enforcement referrals within 60 days of referral (%),NA,95%,94%,94%,95%,85%,85%,Up,NA
LPC,1b,FALSE,Certificates of No Effect issued within 10 days (%),80%,87%,94%,91%,96%,85%,85%,Up,Up
LPC,1d,FALSE,Archaeology applications reviewed within 10 days (%),96%,96%,98%,97%,95%,85%,85%,Up,Neutral
ACS,2a,TRUE,Average EarlyLearn Utilization (%),NA,71.4%,82.1%,81.8%,83.4%,85.0%,85.0%,Up,NA
ACS,2a,TRUE,Average EarlyLearn Utilization - Center-based (%),NA,76.2%,84.6%,82.0%,83.1%,85.0%,85.0%,Up,NA
ACS,2a,TRUE,Average EarlyLearn Utilization - Family child care (%),NA,52.9%,73.9%,81.4%,84.6%,85.0%,85.0%,Up,NA
DHS,2a,FALSE,Families placed in the shelter services system according to their youngest school-aged child's school address (%),76.5%,70.5%,65.4%,52.9%,55.0%,85.0%,85.0%,Up,Down
H + H,1a,TRUE,HIV patients retained in care (%) (annual),87.4%,84.3%,86.6%,86.1%,85.7%,85.0%,85.0%,Up,Neutral
HRA,4a,TRUE,Individuals referred to an APS field office visited within three working days (%),99.7%,99.8%,99.8%,94.3%,95.1%,85.0%,85.0%,Up,Neutral
NYCHA,3a,FALSE,Utilization of senior centers (%) ages 60+,157.0%,133.5%,143.0%,145.0%,116.0%,85.0%,85.0%,Up,Down
NYCHA,2c,TRUE,Section 8 occupied units (vouchers),"93,789","91,892","88,529","86,167","85,224","87,000","87,000",Up,Neutral
NYCHA,1b,FALSE,Management cost per dwelling unit ($),$885,"$1,012",$913,$893,$875,$875,$875,Neutral,Neutral
DCAS,1d,TRUE,Average rating for professional development training sessions (%),88%,88%,88%,88%,90%,88%,88%,Up,Neutral
DCLA,3a,FALSE,E-mails responded to in 14 days (%),88%,86%,90%,92%,95%,88%,88%,Up,Neutral
DDC,1a,FALSE,Total design projects completed early/on time (%),90%,87%,86%,84%,87%,88%,88%,Up,Neutral
DDC,1a,TRUE,- Completed early/on time: Infrastructure (%),91%,83%,85%,84%,87%,88%,88%,Up,Neutral
DDC,1a,TRUE,- Completed early/on time: Public buildings (%),89%,90%,87%,84%,87%,88%,88%,Up,Neutral
DDC,1a,TRUE,Active design projects: Early/on time (%),86%,84%,86%,88%,84%,88%,88%,Up,Neutral
CUNY,1a,TRUE,One-year (fall-to-fall) retention rate of full-time first-time freshmen enrolled in CUNY baccalaureate degree programs,86.3%,86.5%,84.8%,87.3%,86.8%,88.0%,88.0%,Up,Neutral
DOE,1a,FALSE,Students in graduating class with a 65 to 100 passing score on the Regents Examination - English (%),89.8%,88.7%,88.5%,88.9%,NA,85.0%,88.0%,Up,NA
DOE,1a,FALSE,- Math (%),87.2%,87.2%,87.4%,87.5%,NA,85.0%,88.0%,Up,NA
DOE,1a,FALSE,- United States history and government (%),88.0%,87.8%,88.2%,88.0%,NA,85.0%,88.0%,Up,NA
DOE,1a,FALSE,- Global history (%),85.0%,83.8%,84.4%,83.5%,NA,85.0%,88.0%,Up,NA
DOE,1a,FALSE,- Science (%),88.4%,88.0%,88.4%,87.8%,NA,85.0%,88.0%,Up,NA
DEP,3a,FALSE,Harbor survey stations meeting the fishable standard of 5mg/L for dissolved oxygen (%),87%,85%,91%,94%,90%,89%,89%,Up,Neutral
DOE,1a,FALSE,- High school (%),86.7%,86.8%,87.0%,87.9%,88.6%,87.9%,89.6%,Up,Neutral
DCAS,2a,FALSE,CORE customer experience rating of facilities (0-100),78,90,96,94,100,89,90,Up,Up
DEP,7a,FALSE,CORE customer experience rating (0-100),90,91,95,95,100,90,90,Up,Up
DOE,6a,FALSE,CORE facility rating,88,92,97,94,94,88,90,Up,Neutral
DOF,7a,FALSE,CORE customer experience rating (0-100),82,86,92,93,81,90,90,Up,Neutral
DOT,7a,FALSE,CORE customer experience rating (0-100),90,92,97,95,98,90,90,Up,Neutral
DEP,2a,TRUE,Catch basin backup resolution time (days),5.1,3.1,3.9,3.1,4.0,9.0,9.0,Down,Down
DEP,5a,TRUE,Average days to close air quality complaints,7.0,4.5,3.8,4.3,4.0,10.0,9.0,Down,Down
DEP,5a,TRUE,Average days to close noise complaints,9.1,7.1,5.2,5.9,5.6,10.0,9.0,Down,Down
DCA,1b,TRUE,Inspected stores complying with tobacco regulations (%),91%,91%,92%,92%,93%,90%,90%,Up,Neutral
DCA,1c,TRUE,Decisions issued in 30 days or less (%),99%,94%,95%,89%,68%,90%,90%,Up,Down
DCAS,6b,TRUE,Fleet in-service rate citywide (%),NA,91%,90%,90%,91%,90%,90%,Up,NA
DCLA,3a,FALSE,Letters responded to in 14 days (%),61%,87%,100%,100%,100%,90%,90%,Up,Up
DDC,1c,TRUE,Respondents rating a completed project as adequate or better (%),94%,95%,93%,85%,91%,90%,90%,Up,Neutral
DDC,2a,FALSE,E-mails responded to in 14 days (%),91%,91%,94%,95%,86%,90%,90%,Up,Neutral
DDC,2a,FALSE,Letters responded to in 14 days (%),97%,91%,96%,94%,88%,90%,90%,Up,Neutral
DEP,5a,FALSE,Asbestos complaints responded to within three hours (%),100%,100%,100%,100%,100%,90%,90%,Up,Neutral
DOE,6a,FALSE,Customers rating service good or better (%) (as applicable),94%,96%,95%,95%,95%,90%,90%,Up,Neutral
DOHMH,7b,FALSE,Percent meeting time to first action - Food Establishment (14 days),94%,97%,98%,97%,92%,90%,90%,Neutral,Neutral
DOHMH,7b,FALSE,Percent meeting time to first action - Food Poisoning (3 days),96%,96%,98%,84%,94%,90%,90%,Neutral,Neutral
DOT,7a,FALSE,E-mails responded to in 14 days (%),93%,92%,89%,95%,98%,90%,90%,Up,Neutral
DOT,7a,FALSE,Letters responded to in 14 days (%),94%,84%,90%,95%,98%,90%,90%,Up,Neutral
